parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
TVCL,3.9118280778776606,0.4640398941843301,0.01562321195171636,899.5224495263792,1477.8764147365023,1.0038155831063362,0.005625294606099877
TVVC,51.68189214619169,6.552566657045202,0.1927102938264253,1722.1907603571683,1168.5661102661707,1.0026837670842323,0.010844211340817722
TVQ,4.273631839920933,0.9697016154549022,0.024763228841841615,1863.228313312275,1132.6724524009098,1.0026971298473852,0.011807016903338581
TVVP,47.92384955145337,6.387781488877801,0.15718669532216156,2007.3469622324233,1375.5052517528281,1.0022668016689174,0.012613598585142776
TVKA,0.7892438409658235,0.1314648687319136,0.003394820084964409,1833.632060831617,1165.1419823253987,1.0029985039896339,0.011565904623192324
TVMTT,118.01192240081,16.155276086925568,0.3340985623958075,2396.278179506662,2620.0447270847435,1.0010370147137173,0.01497350159698252
TVCIRC0,5.016352241512556,0.57785926000345,0.01153592129726835,2550.8305899928046,2268.1478713978336,1.0005664633361504,0.0159332122059141
TVGAMMA,0.1382265399846466,0.03764393074668372,0.000723520999169671,2721.9767292987735,2769.3708529850423,1.0006691467998456,0.01704037068134879
TVALPHA,0.00033482723770423796,5.820286798287882e-5,1.115484103640925e-6,2743.466321390371,2836.624292948229,1.0006481418641688,0.017191152825761537
σ,0.19276836025777455,0.006630159357229326,9.205465417166154e-5,5216.5266874755225,2998.5790319205357,1.0012465430665347,0.032809044534490316
σ_pd,0.21116535471741357,0.008651096242801934,0.00011401516981486914,5833.13041335758,2866.296286818874,1.0013245694395088,0.03660737521367302
ωCL,0.4013151738730846,0.09133538685761214,0.0021447145487991444,1763.7915364381265,2291.0516412115658,1.00129967167085,0.011068685141262146
ωVC,0.21886503477190788,0.08517211921822625,0.0019422262027301445,1820.3792287965487,1524.3756945741843,1.0012038407049046,0.011419081135911547
ωQ,0.15714096485790177,0.12534106836628922,0.004443039070034349,1783.5403124025793,1828.1790200935072,1.0036779036865693,0.011311514994963247
ωVP,0.2551271268364631,0.10511039014413223,0.0026913573832569307,1508.379515628829,1372.7276845299712,1.0030877225476311,0.009574097131688867
ωKA,0.2649923473889359,0.12313765152266443,0.003376100520615554,1252.7476884048203,1251.554583481877,1.0031219316447242,0.007889792128851377
ωMTT,0.2946123451895229,0.13651078686676857,0.0034251024810469503,1450.3401392526546,1173.3214038209928,1.0015488874545468,0.009095268745754071
ωCIRC0,0.38305334937814794,0.08784100147706358,0.0017148509801666462,2715.349096599221,2967.387634003491,1.0015471754486815,0.016948899519927323
ωGAMMA,0.5623097875390661,0.17266268083447484,0.0032102148944280927,2881.8437443145403,2971.3760519656003,1.0004493655569782,0.0180578724906654
ωALPHA,0.42994130608918013,0.12791895154562866,0.0022623808643306683,3293.163354548663,3123.7236085391014,1.000224653547149,0.02053967361326409
